CODE_ID	NAME
1223	Leszek Burzynski
1224	Michael Mayer
1225	Ariel Zeitoun
1226	Julien Seri
1227	Marcus Cole
1228	Christopher B. Stokes
1229	Takeshi Kitano
1230	Guy Jacques
1231	Cy Endfield
1232	Graham Baker
1233	Jeffrey Porter
1234	Robert Lieberman
1235	Jordan Susman
1236	Srdan Golubovic
1237	Robert Duvall
1238	Toby Shelton
1239	Victor Cook
1240	Kevin Costner
1241	Fernando Meirelles
1242	Ken Kwapis
1243	Willard Huyck
1244	Jeff Balsmeyer
1245	John McKay
1246	Rob Reiner
1247	Gil Junger
1248	Shohei Imamura
1249	Silvio Narizzano
1250	Rick Famuyiwa
1251	Blair Hayes
1252	Rod Hardy
1253	Julian Farino
1254	John Sayles
1255	Linda Mendoza
1256	Andrew Dominik
1257	Frank Tashlin
1258	John Milius
1259	Sara Sugarman
1260	Eric Weston
1261	Tony Bill
1262	Martin Weisz
1263	Christopher Smith
1264	John Cornell
1265	Kenneth Branagh
1266	Michael Piller
1267	David Milch
1268	Michael Patrick King
1269	Don McGuire
1270	Jacques Dorfmann
1271	Richard Friedenberg
1272	Ken Barbet
1273	Kevin Tenney
1274	Charles Reisner
1275	Archie Mayo
1276	Forest Whitaker
1277	Aaron Kim Johnston
1278	Tom Green
1279	Joseph Zito
1280	John Carl Buechler
1281	Allen Hughes
1282	Albert Hughes
1283	Guy Hamilton
1284	John Robert Hoffman
1285	Tom Tykwer
